0_-2,1_-2,2_-2,3_-2,4_-2,5_-2,6_-2,7_-2,8_-2,9_-2,10_-2,11_-2,12_-2,13_-2,14_-2,15_0,16_-2,17_-2,18_1,19_-2	去那边办事情晚了就在那边吃晚饭了总体感觉还可以鹅肝寿司鹅肝很嫩入口即化的感觉水果船寿司甜甜的就跟吃水果沙拉一样吐槽的是接下来这个跟冰淇淋一样的土豆泥因为本人是脆皮控看到这个土豆泥有脆皮就果断点了拿到手就忍不住尝了还没入口靠近鼻子就就闻到一种hao掉的味道就是饼干零食放很久那种味道一股机油的味道最后是丢掉的再来说鹅肝炒饭总体来说就是加了鹅肝和鱼籽的高级扬州炒饭味道还行无功无过奶茶味道偏淡跟加了水一样做饮料的师傅不走心
0_1,1_-2,2_-2,3_-1,4_-2,5_-2,6_-2,7_-2,8_1,9_-2,10_1,11_-2,12_-2,13_1,14_1,15_-2,16_-2,17_-2,18_1,19_0	隐藏在大楼里，所以不是平民范。可能是因为交通方便，加上比较干净整洁，还是有很多慕名而来的食客。所以也导致太难等座了。周四晚上去的，取号后等了将近两个小时。。每人一个小锅，倒是显得干净卫生，但是少了大铜锅的韵味。。菜的份量比较实在，两人点了三份肉，一份炸豆皮、一份酸菜，一份蔬菜拼盘，加上店里送的几个小菜，敞开了吃最后还是剩了不少。。性价比还是不错的，朋友聚餐还不错，但不太适合工作约饭，因为等座太久实在不合适。
0_-2,1_-2,2_-2,3_-2,4_-2,5_-2,6_-2,7_0,8_-2,9_-1,10_-2,11_-2,12_-2,13_-2,14_-1,15_-1,16_-2,17_-2,18_-1,19_-2	怎么说呢第一次在这里吃看菜牌价格也算是稍微偏中上的一个拉面40以上一个炒饭40以上寿司中等价格好了这些价格的事其实也没什么因为都知道吃日本料理人均一百左右是很平常很平常的只要味道食材新鲜过得去就足以让人心满意足的踏出门口。。不过重点来了因为我真的真的非常的不满意是味道真的差劲死了一个鹿儿岛拉面味道淡到没朋友鹿儿岛的当地人都喜欢原汁原味到不下盐的吗配上一块东坡肉（虽然菜单上没有这个说法）半块鸡蛋一点点海带丝的我妈啊一点味道都没有当然实在太饿了只能都把他吃完够讽刺的还有鱼煎秋刀鱼瘦的跟鱼干似的又薄又小味道又十分的腥就算加了酱油柠檬汁也是这样太难吃。。还有炒饭一句话说完今天中午吃应记的菠萝炒饭把它秒杀了至于寿司反而变得稍微能接受因为实在太平淡你不会吃到一丝鲜唯但不至于说难吃所以我也不想多说它有哪些更大的缺点。。就这样结单124元有交行信用卡或关注微信有。9折。。这是我自己的一些吃后感
0_-2,1_-2,2_-2,3_-2,4_1,5_-2,6_-2,7_-2,8_1,9_1,10_-2,11_-2,12_-2,13_-2,14_1,15_1,16_1,17_-2,18_1,19_-2	首先引座员非常负责任，我订座因为信号不好，收到提醒信息时已经过了3位，门口的小姑娘积极帮我想办法解决了：其次服务员态度特别好，点菜前先上了两碟小凉菜边吃边点，然后我点了一份cctv沙拉一份商圈大卷一份焗扇贝还有一份三文鱼刺身，好友说够了，我看图片份量不是很大怕不够吃，问服务员她老实地回答肯定会够吃的。幸好听了她的后来两个人吃撑了都～食材都很新鲜，不过好友说吃过更新鲜一点的鱼籽，，味道还是一如既往棒棒哒(=^x^=)用点评网买单还优惠了28元，挺划算的^_^唯一遗憾是逛了一下午饿坏了没想起来拍照片（≧∇≦）
0_-2,1_-2,2_-2,3_-2,4_-2,5_-2,6_-2,7_-1,8_-2,9_0,10_-2,11_-2,12_-2,13_-2,14_-2,15_0,16_-2,17_-2,18_1,19_1	那天在附近办事，闲来无事搜附近吃饭的地方，看到这家店，话说前几天刚在点评网看到一个帖子在讲“臭”，想起这家店，做安徽菜还是很有名的，如同菜单上写的，我们只做52道菜。俩个人点了招牌臭鳜鱼，臭豆腐。味道偏咸，两样都是臭的，但是没什么臭味。臭鳜鱼，蒜瓣肉，刺少，做的不错，价格不低。可以办会员卡。臭豆腐不是一般的方形，是圆形的。店家自制小咸菜不错，用会员卡消费可以参与摇转盘打折活动，但是限制是在周一至周五才能使用晚上也不能使用，比较制约。北京一共四家店，位置都在北边。总体不错，推荐尝试。
0_-2,1_1,2_1,3_-2,4_1,5_-2,6_-2,7_-2,8_-2,9_1,10_1,11_1,12_0,13_-2,14_1,15_1,16_1,17_-2,18_1,19_1	新店哦！刚开不久哦！带着吃货们探一探路，首先呢，位置是很好找的，万达三楼北侧，门口有位非常帅气的帅哥哦，好热情的，还有最重要的两点歌声很动听哦，接着就是舞步了，没得说！一个字炫。吃货们都已经等不及了坐下吧，开始点餐，店员很熟练的介绍着每一道菜，首先是各种硬菜，例如，铁板鸡，店长的拿手好菜哦！每一道菜都会详细的说明，当然这个时候吃货的耳朵听着，嘴巴也没有闲着，开胃小菜，先放的4种韩国泡菜（吃完可以再点哦，免费的哦，店长很大方哦！量超大呢），介绍完之后，这时你都要想每个都要尝尝的感觉，先来道铁板鸡，上菜以后，你可以看到好多配菜（烤肠，地瓜，年糕），这时就正式开始了，首先会有帅哥来精心帮你炒菜哦，首先是蔬菜的烹炒，接下来是一种特制的调料（小哥说是韩国空运过来的密制），接下来是肌肉，韩国泡面（色彩看起来就很诱人），过一短时间就可以品尝了，还有最重要的一点，在整个烹炒过程中没有放油哦，都是鸡肉中的。小哥在快要烹炒结束时都会给一个造型哦，有兔子，五星⭐⭐，奔驰，熊掌，看着可爱的造型都不忍下口，但是吃货的世界你不懂，先吃为快，做的是微辣的哦，蔬菜入口香脆，鸡肉非常的细嫩，酸辣的味道可以充分调动你的所有味蕾，仿佛可以感受到自己真正到了韩国吃着特色韩国菜，当然，吃的过程中，也可以有小小的要求，你一边吃，门口的帅哥就过来伴舞哦！其乐融融，开心的不得了，不仅好吃的美味，还有不一样的舞蹈，对哦！还有一些小菜，韩国凉面，汤特别的好喝，味道非常的厚重。炒年糕，这里要特别提一下，年糕是夹心的哦，好几种口味，整顿饭下来，非常的舒心，服务态度超赞，不仅仅是微笑，还有各种搞笑段子，惊喜的创意，地方虽然不是很大，但是很温馨。其次店内摆设很整齐，环创做的很好，惊喜不断，还有很多小玩意，沙漏，创意吊灯。非常感谢店长的热情款待，说的好多，推荐大家都去体验一次，大众点评的霸王餐活动，支持料理先生，支持点评，下次再来。再来听段子！哈哈！
0_-2,1_-2,2_1,3_-2,4_-2,5_-2,6_-2,7_0,8_-2,9_1,10_-2,11_-2,12_-1,13_-2,14_1,15_1,16_-2,17_-2,18_1,19_1	现在韩国雪花冰很热门，也开了好多家店，几家吃下来，感觉这家膨膨冰还是不错的。。。地方很好找，就在市民大药房对面。。。门面不算大，虽然有两层，但是桌数并不多，再加上他家生意不错，所以我们去的时候三大一小只能挤在门口一张放电脑的小桌上。。。他家雪花冰是分大份小份两种，品种大概六七种，我们点了一份小份首尔四季，正好50，还是四折时买的代金券，很划算。。。他家小份的份量也是足足的，端上来的时候还配了炼乳。首尔四季的用料也很足，表面是芒果，红心火龙果，猕猴桃，年糕四种，顶上放了一个冰激凌球吧，冰里面吃着吃着还有香蕉，很有挖宝藏的感觉。水果很甜，雪花冰本身也是牛奶味的，吃到一半再把炼乳浇上去拌拌，很香浓。。。几个人吃得很欢，下次还会再来。
0_1,1_-2,2_-2,3_-2,4_0,5_1,6_-2,7_-2,8_-2,9_1,10_-2,11_-2,12_-2,13_-2,14_0,15_0,16_-2,17_-2,18_1,19_-2	<点咪加咪>霸王餐，感谢点咪加咪的豪爽，谢谢大众点评~第一次中霸王餐，有点兴奋~哈哈哈。位置：食店在海德路现代花园的首层商铺，交通方便，有停车位，无停车票。。食品：这次的餐点是三人餐，和父母一起去的，分量太足，吃不完~虾饺里面有一只足足的鲜虾，满足的口感，点赞~肠粉至少有五条，口感滑嫩，酱油的分量刚好~菊花流沙包真的可以流沙，很好吃~香煎萝卜糕，三大块，不足的是居然没提供醋？居然没有醋？排骨拼凤爪，把两个必点的硬菜拼在一起，两人适合点~陈皮牛肉丸，陈皮味不浓，可以接受，下面铺的木耳可以多一点~马蹄糕，我很喜欢这个甜甜中夹着脆脆的马蹄的甜点，爽口美味~。服务：主管业余很熟悉服务很好，服务员有点不清楚，有待加强~
0_-2,1_-2,2_-2,3_-2,4_-2,5_-2,6_0,7_1,8_-2,9_1,10_-2,11_-2,12_-2,13_-2,14_-2,15_0,16_-2,17_-2,18_0,19_-2	大众点评实在太给力了，刚想吃下午茶并想试试新东西，在大众一搜就搜到这家出名的韩国炸鸡和啤酒了，最给力的是闪惠支付减25元啊！立即决定尝试一下，选择了微辣鸡翅，12件59元，实付34元，真的很便宜。不过炸鸡写的是现炸，需时15分钟，可以先点单再逛街后才过来取。等待15分钟后终于可以开吃了，微辣是加了酱汁的，外面的酱汁是够味了，可里面淡淡的，没什么味道，比较新鲜，但没有想像中好吃，或许我没有配啤酒的缘故吧！
0_1,1_1,2_-2,3_-2,4_1,5_-2,6_-2,7_0,8_-2,9_-2,10_1,11_1,12_1,13_1,14_1,15_0,16_-2,17_-1,18_1,19_-2	在宝山万达金街3楼的一家韩国料理店，在网上看到各种点评，有说环境差的有说难吃的，可自己感觉特别想试试！一进店里感觉环境不差也没有虫子！服务员的态度也超级好！我们点了芝士年糕锅，另加了份牛肉和金针菇！芝士鸡蛋卷，炸鱼饼，辣炒章鱼！蓝朋友点了15块钱的饮料畅饮…。。芝士年糕火锅：甜辣口味，口感蛮不错的，量也很足，另加的牛肉量真的好多，感觉是不是赚到了！。芝士鸡蛋卷：可以拉好长的丝，哈哈！口感并不是怎么好，不推荐，放在边上再吃的时候就像石头一样！。炸鱼饼：感觉炸的时间太长了，不推荐！。辣炒章鱼：里面用的不是泡菜，是韩国辣酱和卷心菜直接炒的，应该是节约成本吧…不过口味还是不错的，也是甜辣感觉。总体来说：值得一试！
